mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.32773785591125487,0.12143903860599713,0.004013204574584961,0.001931399055097659,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-2.1253809780856883,-1.2825822997623826,-4.1504563487511215,-1.6505179125244422,-0.5126518752412879,-1.9443178828729846,1.2225964777484646,40
0.6450514316558837,0.11928436721112134,0.004211139678955078,0.0010350715231515024,0.8,0.05,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-2.325777305764403,-1.5652667798849773,-3.9048926140298765,-1.8500046545560898,-0.8199013654743981,-2.0931685439419487,1.0291228497677993,46
0.5793824195861816,0.10627014803557445,0.00380706787109375,0.0005104439884506899,0.8,0.05,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1.5305175440991308,-0.8764690878476951,-2.2151544418727944,-1.2801350198516326,-0.3551475821634574,-1.251484735166942,0.6247233753405279,1
0.7173520565032959,0.023148776842737834,0.0036272525787353514,0.000368270984416113,0.8,0.05,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1.841676975962905,-1.2484989846554457,-2.3522852907094087,-1.4152139152746326,-0.6275138788133537,-1.497037809083149,0.5787508915471933,13
0.019812345504760742,0.0010829571514584643,0.0021070003509521484,0.00019989282118472554,0.8,0.05,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-1.8083706102497408,-1.2986626661457095,-4.197920318857603,-1.29418984916866,-0.4432704848507356,-1.8084827858544898,1.272605998941082,35
0.021612930297851562,0.003066192053957574,0.0032130718231201173,0.001030858630760699,0.8,0.05,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-2.0847217352312697,-1.2647505004420807,-3.8246271681733277,-1.4999826040474613,-0.7834750727875449,-1.8915114161363369,1.0533883740100511,38
0.0620821475982666,0.018210008328837034,0.0034081459045410155,0.0010682818419080458,0.8,0.05,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-1.582270711869189,-1.0669617800928421,-2.4777562740933288,-1.1082111210279337,-0.3914305478182259,-1.3253260869803039,0.6899518502054208,3
0.0485896110534668,0.007771057037914379,0.003125619888305664,0.0006910977199793603,0.8,0.05,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-1.8735591870186556,-1.0761312286364326,-2.5175839535046407,-1.3655201994053596,-0.6315793422702217,-1.492874782167062,0.6521769262811119,12
0.04211921691894531,0.004804150570446932,0.0027095794677734373,0.0005114835158530853,0.8,0.05,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-1.9930770270045857,-1.3368998913145436,-4.338302641095246,-1.551731301850818,-0.4241641221827443,-1.9288349966895875,1.3089148310048557,39
0.03502473831176758,0.005044945655555955,0.002904653549194336,0.0008043077251011342,0.8,0.05,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",-2.1327997921273183,-1.4495823180761236,-3.9549123407657034,-1.9596057131465534,-0.8575289906509292,-2.0708858309533253,1.0415397611138348,45
0.07163858413696289,0.006513649106329388,0.003103494644165039,0.0006639873103457287,0.8,0.05,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",-1.8390762227209123,-1.137594513129046,-2.6619081227270898,-1.3807885099393402,-0.3774957007444153,-1.4793726138521608,0.7574220413087195,10
0.07724275588989257,0.008726753679050656,0.0029120445251464844,0.0005876351042040496,0.8,0.05,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",-2.032786218627177,-1.3429451519912734,-2.6407362728692387,-1.9096665730536109,-0.7696791323974747,-1.739162669787755,0.6363973573035724,27
0.025305747985839844,0.0041954488356469085,0.002405261993408203,0.0007386678492271781,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1.5562418695252154,-0.8675194260976486,-3.2028049238489564,-1.3876156842857643,-0.5464138695237872,-1.5121191546562744,0.9191258679901279,15
0.028080463409423828,0.004658228377987217,0.0038086414337158204,0.0006824041644016926,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1.7358156950944634,-1.1024199163032442,-2.46348083677959,-1.6547388364081461,-0.7218048789415485,-1.5356520327053986,0.5941633958093842,18
